WKT,pops_number,borough_name,borough_code,community_board,address_number,street_name,zip_code,building_address_with_zip_code,tax_block,tax_lot,building_name,building_location,year_completed,building_constructed,public_space_type,developer,building_architect,principal_public_space_designer,size_required,hour_of_access_required,amenities_required,other_required,permitted_amenities,physically_disabled_access,latitude,longitude,xcoordinate,ycoordinate,bin,postcode,council_district,census_tract,bbl,nta,location,tpadbin,tpadbinstatus
"POINT (-73.997957 40.752087)",M040016,Manhattan,"1","04","401",WEST 31 STREET,"10001","401 WEST 31 STREET, New York, NY 10001","00729","7505",Hudson Yards / Manhattan West (Subarea B2),,,,"Art Plaza; Central Plaza; Entry Plaza",,,,,,,,, ,40.752087,-73.997957,"0984816","0213282","1089694","10001","3","103","1007297505",,POINT(-73.997957 40.752087),,No activity
"POINT (-73.97538 40.764811)",M050002,Manhattan,"1","05","36",CENTRAL PARK SOUTH,"10019","36 CENTRAL PARK SOUTH, New York, NY 10019","01274","0011",Park Lane Hotel,South side of Central Park South between Fifth and Sixth Avenues,"1971",Completed,"Arcade; Plaza",,Emery Roth & Sons,Emery Roth & Sons,"Arcade 2098.00 sf; Plaza 1958.00 sf",24 Hours,"None; Trees on Street",,,Full/Partial,40.764811,-73.97538,"0991070","0217919","1035251","10019","4","112.01","1012740011",,POINT(-73.97538 40.764811),,No activity
"POINT (-73.972435 40.763609)",M050003,Manhattan,"1","05","767",FIFTH AVENUE,"10153","767 FIFTH AVENUE, New York, NY 10153","01294","0001",General Motors Building,East side of Fifth Avenue between East 58th and 59th Streets,"1968",Completed,"Arcade; Plaza",,Edward Durell Stone,"Edward Durell Stone; Thomas Balsley Associates (for alteration in 1999); Moed de Armas & Shannon Architects P.C. (for alteration in 2004 and 2011); MPFP & Mathews Nielsen (for design change and reduction in 2017)","Arcade 1971.00 sf; Plaza 19730.00 sf",24 Hours,"Artwork; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space; Water Feature",,,Full/Partial,40.763609,-73.972435,"0991886","0217481","1036082","10153","4","112.02","1012940001",,POINT(-73.972435 40.763609),,No activity
"POINT (-73.970356 40.762894)",M050004,Manhattan,"1","05","500",PARK AVENUE,"10022","500 PARK AVENUE, New York, NY 10022","01294","0037",500 Park Tower,Southwest corner of Park Avenue and East 59th Street,"1984",Completed,"Arcade; Sidewalk Widening; Urban Plaza",500 Park Avenue Associates,"James Stewart Polshek & Associates/Schuman Lichtenstein Claman & Efron/Skidmore, Owings & Merrill","James Stewart Polshek & Associates/Schuman Lichtenstein Claman & Efron/Skidmore, Owings & Merrill","Arcade 2695.00 sf; Sidewalk Widening 1173.40 sf; Urban Plaza 1479.00 sf",24 Hours,"Lighting; None; Planting; Plaque/Sign; Retail Frontage; Trees on Street",,,Full/Partial,40.762894,-73.970356,"0992462","0217221","1036084","10022","4","112.02","1012940037",,POINT(-73.970356 40.762894),,No activity
"POINT (-73.969605 40.76254)",M050005,Manhattan,"1","05","499",PARK AVENUE,"10022","499 PARK AVENUE, New York, NY 10022","01313","0004",,Southeast corner of Park Avenue and East 59th Street,"1980",Completed,"Glass-Enclosed Urban Plaza Equivalent; Open Urban Plaza Equivalent; Sidewalk Widening Equivalent; Through Block Arcade Equivalent",,I.M. Pei and Partners,I.M. Pei and Partners,"Glass-Enclosed Urban Plaza Equivalent 1450.00 sf; Open Urban Plaza Equivalent 525.00 sf; Sidewalk Widening Equivalent 487.00 sf; Through Block Arcade Equivalent 1540.00 sf",24 Hours,"Lighting; None; Plaque/Sign; Seating; Trees within Space",,,Full/Partial,40.76254,-73.969605,"0992670","0217092","1037164","10022","4","112.03","1013130004",,POINT(-73.969605 40.76254),,No activity
"POINT (-73.969317 40.762219)",M050006,Manhattan,"1","05","110",EAST 59 STREET,"10022","110 EAST 59 STREET, New York, NY 10022","01313","0005",,South side of East 59th Street between Lexington and Park Avenues,"1968",Completed,"Arcade; Plaza (in C5-3); Plaza (in C6-4)",,William Lescaze & Associates,William Lescaze & Associates,"Arcade 4210.00 sf; Plaza (in C5-3) 4786.00 sf; Plaza (in C6-4) 398.00 sf",24 Hours,None,,,Full/Partial,40.762219,-73.969317,"0992750","0216975","1037165","10022","4","112.03","1013130005",,POINT(-73.969317 40.762219),,No activity
"POINT (-73.969757 40.761711)",M050007,Manhattan,"1","05","115",EAST 57 STREET,"10022","115 EAST 57 STREET, New York, NY 10022","01312","7501",Galleria,North side of East 57th Street between Lexington and Park Avenues,"1974",Completed,Covered Pedestrian Space,,David Kenneth Specter/Philip Birnbaum,David Kenneth Specter,Covered Pedestrian Space 7419.29 sf,Restricted Hours,"Climate Control; Lighting; Other Required; Planting; Plaque/Sign; Programs; Retail Frontage; Seating; Tables; Trees within Space; Water Feature",skylight,Other Permitted,Full/Partial,40.761711,-73.969757,"0992628","0216790","1036926","10022","4","112.03","1013127501",,POINT(-73.969757 40.761711),,No activity
"POINT (-73.974991 40.763886)",M050008,Manhattan,"1","05","9",WEST 57 STREET,"10019","9 WEST 57 STREET, New York, NY 10019","01273","0022",Solow,North side of West 57th Street between Fifth and Sixth Avenues,"1972",Completed,"Arcade; Plaza",Solow Building Co.,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill","Arcade 10970.90 sf; Plaza 17596.90 sf",24 Hours,None,,,Full/Partial,40.763886,-73.974991,"0991178","0217582","1035071","10019","4","112.01","1012730022",,POINT(-73.974991 40.763886),,No activity
"POINT (-73.976351 40.764458)",M050009,Manhattan,"1","05","58",WEST 58 STREET,"10019","58 WEST 58 STREET, New York, NY 10019","01273","7501",,South side of West 58th Street between Fifth and Sixth Avenues,"1968",Completed,"Arcade; Plaza",,Samuel Paul & Seymour Jarmul Architects,Samuel Paul & Seymour Jarmul Architects,"Arcade 1500.00 sf; Plaza 4918.48 sf",24 Hours,None,,,Full/Partial,40.764458,-73.976351,"0990801","0217790","1035078","10019","4","112.01","1012737501",,POINT(-73.976351 40.764458),,No activity
"POINT (-73.98147 40.765474)",M050010,Manhattan,"1","05","211",WEST 56 STREET,"10019","211 WEST 56 STREET, New York, NY 10019","01028","0017",Carnegie Mews,Northeast corner of West 56th Street and Broadway,"1976",Completed,Plaza,Ralph Kern,Philip Birnbaum,Philip Birnbaum,Plaza 4773.50 sf,24 Hours,"Other Required; Planting",access ramp from West 56th Street to Plaza,,Full/Partial,40.765474,-73.98147,"0989383","0218160","1024894","10019","6","137","1010280017",,POINT(-73.98147 40.765474),,No activity
