WKT,pops_number,borough_name,borough_code,community_board,address_number,street_name,zip_code,building_address_with_zip_code,tax_block,tax_lot,building_name,building_location,year_completed,building_constructed,public_space_type,developer,building_architect,principal_public_space_designer,size_required,hour_of_access_required,amenities_required,other_required,permitted_amenities,physically_disabled_access,latitude,longitude,xcoordinate,ycoordinate,bin,postcode,council_district,census_tract,bbl,nta,location,tpadbin,tpadbinstatus
"POINT (-73.948665 40.70116)",K010001,Brooklyn,"3","01","334",WALLABOUT STREET,"11206","334 WALLABOUT STREET, Brooklyn, NY 11206","02265","0014",Pfizer Sites Development,,,Under Construction,Public Access Area,"Harrison Realty, LLC",,,,,,,, ,40.70116,-73.948665,"0998484","0194732","3000000","11206","33","507","3022650014",,POINT(-73.948665 40.70116),,No activity
"POINT (-73.957804 40.722954)",K010002,Brooklyn,"3","01","25",KENT AVENUE,"11249","25 KENT AVENUE, Brooklyn, NY 11249","02282","0001",,,,Completed,Publicly Accessible Open Space,,,,,,,,,Full/Partial,40.722954,-73.957804,"0995946","0202671","3425961","11249","33","557","3022820001",,POINT(-73.957804 40.722954),,No activity
"POINT (-73.968119 40.714962)",K010003,Brooklyn,"3","01","316",KENT AVENUE,"11249","316 KENT AVENUE, Brooklyn, NY 11249","02414","0001",Domino Sugar Factory,,,,Public Access Area,,,,,,,,,Full/Partial,40.714962,-73.968119,"0993088","0199758","3000000","11249","33","551","3024140001",,POINT(-73.968119 40.714962),"3425019",New BIN issued
"POINT (-73.988771 40.690409)",K020001,Brooklyn,"3","02","130",LIVINGSTON STREET,"11201","130 LIVINGSTON STREET, Brooklyn, NY 11201","00163","0001",Livingston Plaza,"Full block bounded by Livingston Street, Schermerhorn Street, Smith Street, and Boerem Place","1991",Completed,Plaza,Cohen Brothers,Murphy/Jahn Architects,Murphy/Jahn Architects,Plaza 19201.00 sf,24 Hours,"Lighting; Litter Receptacles; Other Required; Planting; Seating; Trees on Street",decorative pavement near intersection of Boerem Place and Livingston Street,,Full/Partial,40.690409,-73.988771,"0987364","0190811","3319419","11201","33","37","3001630001",,POINT(-73.988771 40.690409),,No activity
"POINT (-73.987992 40.693812)",K020002,Brooklyn,"3","02","350",JAY STREET,"11201","350 JAY STREET, Brooklyn, NY 11201","00140","7501",Renaissance Plaza,West side of Jay Street between Willoughby Street and Tech Place,"1998",Completed,"Plaza and Plaza Connected Open Space; Urban Plaza",Muss Development Company,William B. Tabler Architects,"William B. Tabler Architects/Office of William B. Kuhl; William B. Tabler Architects/Moss Gilday Group (for alteration in 2003)",Urban Plaza 28805.00 sf,24 Hours,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space",,Other Permitted,Full/Partial,40.693812,-73.987992,"0987580","0192051","3000259","11201","33","11","3001407501",,POINT(-73.987992 40.693812),,No activity
"POINT (-73.986719 40.693222)",K020003,Brooklyn,"3","02","1",METROTECH CENTER,"11201","1 METROTECH CENTER, Brooklyn, NY 11201","00147","0004",,"Bounded by Jay Street, Tech Place, Bridge Street, Tillary Street, Flatbush Avenue, Duffield Street, and Willoughby Street","1990",Completed,Commons and Public Areas,Forest City MetroTech Associates,"Haines Lundberg Waehler/Skidmore, Owings & Merrill/Swanke Hayden Connell",The Ehrenkrantz Group & Eckstut,Commons and Public Areas 0.00 sf,24 Hours,"Artwork; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Subway; Trees on Street; Trees within Space","Jay Plaza: newsstand, trellis; security",,Full/Partial,40.693222,-73.986719,"0987933","0191836","3319418","11201","33","11","3001470004",,POINT(-73.986719 40.693222),,No activity
"POINT (-73.989806 40.691476)",K020006,Brooklyn,"3","02","111",LIVINGSTON STREET,"11201","111 LIVINGSTON STREET, Brooklyn, NY 11201","00266","0001",,Northwest corner of Livingston Street and Boerem Place,"1969",Completed,Plaza,,,,Plaza 9920.00 sf,24 Hours,None,,,Full/Partial,40.691476,-73.989806,"0987077","0191200","3002555","11201","33","9","3002660001",,POINT(-73.989806 40.691476),,No activity
"POINT (-73.978636 40.688253)",K020007,Brooklyn,"3","02","230",ASHLAND PLACE,"11217","230 ASHLAND PLACE, Brooklyn, NY 11217","02095","7502",Forte,North of Fulton Street between Ashland Place and Rockwell Place,"2007",Completed,Residential Plaza,The Clarett Group,FXFowle Architects,Sullivan Group Design,Residential Plaza 3960.00 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",adjacent wall of Brooklyn Academy of Music covered in planting,,Full/Partial,40.688253,-73.978636,"0990175","0190026","3393804","11217","35","33","3020957502",,POINT(-73.978636 40.688253),,No activity
"POINT (-73.982885 40.694078)",K020008,Brooklyn,"3","02","343",GOLD STREET,"11201","343 GOLD STREET, Brooklyn, NY 11201","02049","0002",Avalon Fort Greene,North of Myrtle Avenue between Flatbush Avenue Extension and Prince Street,"2008",Completed,Residential Plaza,"Avalon Bay Communities, Inc.",Perkins Eastman,Moss Gilday Group,Residential Plaza 17475.00 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,Unknown,40.694078,-73.982885,"0988996","0192148","3393888","11201","35","15","3020490002",,POINT(-73.982885 40.694078),,No activity
"POINT (-73.986566 40.698099)",K020009,Brooklyn,"3","02","203",JAY STREET,"11201","203 JAY STREET, Brooklyn, NY 11201","00107","7501",,Building located on the east side of Jay Street between Concord Street and Nassau Street,"0",Under Construction,Public Plaza,,,Scape Landscape Architecture PLLC,Public Plaza 10405.00 sf,24 Hours,"Artwork; Bicycle Parking; Drinking Fountain; Food Service; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space",,,Full/Partial,40.698099,-73.986566,"0987975","0193613","3426023","11201","33","13","3001077501",,POINT(-73.986566 40.698099),,No activity
"POINT (-73.977918 40.687418)",K020010,Brooklyn,"3","02","620",FULTON STREET,"11217","620 FULTON STREET, Brooklyn, NY 11217","02108","0001",,Building is located at the northeast corner of Fulton Street and St. Felix Street.,"2017",Completed,Public Plaza,,,"Langan, Civil Engineer & Landscape Architect",Public Plaza 2768.00 sf,24 Hours,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees within Space",,,Full/Partial,40.687418,-73.977918,"0990374","0189722","3424471","11217","35","33","3021080001",,POINT(-73.977918 40.687418),,No activity
"POINT (-73.987158 40.699584)",K020011,Brooklyn,"3","02","90",SANDS STREET,"11201","90 SANDS STREET, Brooklyn, NY 11201","00087","0009",,"Full block bound by Sands Street, Jay Street, High Street, and Pearl Street.","1996",Completed,Plaza,,,,Plaza 7672.25 sf,24 Hours,,,,None,40.699584,-73.987158,"0987811","0194154","3000179","11201","33","13","3000870009",,POINT(-73.987158 40.699584),,No activity
"POINT (-73.978499 40.686202)",K020012,Brooklyn,"3","02","286",ASHLAND PLACE,"11217","286 ASHLAND PLACE, Brooklyn, NY 11217","02110","7501",BAM South,,,,Public Open Space,Two Trees Management,Ten Arquitectos,,,,,,,None,40.686202,-73.978499,"0990213","0189279","3428715","11217","35","35","3021107501",,POINT(-73.978499 40.686202),,No activity
"POINT (-73.935746 40.701214)",K040001,Brooklyn,"3","04","501",BUSHWICK AVENUE,"11206","501 BUSHWICK AVENUE, Brooklyn, NY 11206","03141","0001",Rheingold Development,"Buildings located within five full blocks and one partial block, and is roughly bounded by Flushing Avenue, Beaver Street, Garden Street, Forrest Street, Stanwix Street, Melrose Street and Evergreen Avenue.",,Under Construction,Public Access Area,,,,,,,,,Full/Partial,40.701214,-73.935746,"1002066","0194754","3426398","11206","34","391","3031410001",,POINT(-73.935746 40.701214),,No activity
"POINT (-73.98806 40.572811)",K130001,Brooklyn,"3","13","2121",BOARDWALK WEST,"11224","2121 BOARDWALK WEST, Brooklyn, NY 11224","07071","0142",Seaside Park & Community Arts Center,,,Completed,"Open-Air Auditorium; Public Open Space",,"Gerner Kronick + Valcarcel, pc","Michael Van Valkenburgh Associates, Inc.",,,,,,Full/Partial,40.572811,-73.98806,"0987567","0147967","3426960","11224","47","352","3070710142",,POINT(-73.98806 40.572811),,No activity
"POINT (-73.950173 40.583936)",K150001,Brooklyn,"3","15","1809",EMMONS AVENUE,"11235","1809 EMMONS AVENUE, Brooklyn, NY 11235","08773","7501",,Between East 19th Street and Sheepshead Bay Road.,,,'Plaza',,,,,,,,,Full/Partial,40.583936,-73.950173,"0998090","0152024","3247051","11235","48","608","3087737501",,POINT(-73.950173 40.583936),,No activity
"POINT (-74.012236 40.71451)",M010002,Manhattan,"1","01","101",BARCLAY STREET,"10007","101 BARCLAY STREET, New York, NY 10007","00128","0002",,"Full block bounded by Barclay, Greenwich, Murray, and West Streets","1983",Completed,"Pedestrian Easement; Public Lobby",,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill","Pedestrian Easement 0.00 sf; Public Lobby 0.00 sf",24 Hours,"None; Trees on Street; Trees within Space",,,Full/Partial,40.71451,-74.012236,"0980858","0199592","1001416","10007","1","21","1001280002",,POINT(-74.012236 40.71451),,No activity
"POINT (-74.013389 40.709616)",M010003,Manhattan,"1","01","130",LIBERTY STREET,"10006","130 LIBERTY STREET, New York, NY 10006","00054","0001",One Bankers Trust Plaza,"Full block bounded by Liberty, Albany, Washington, and Greenwich Streets","1973",Completed,"Arcade; Elevated Plaza; Elevated Shopping Way; Pedestrian Bridge; Pedestrian Connection; Plaza; Shopping Arcade",Fisher Brothers,"Shreve, Lamb & Harmon","Shreve, Lamb & Harmon; Thomas Balsley Associates","Arcade 7175.00 sf; Elevated Plaza 0.00 sf; Elevated Shopping Way 0.00 sf; Pedestrian Bridge 0.00 sf; Pedestrian Connection 0.00 sf; Plaza 7623.00 sf; Shopping Arcade 0.00 sf","24 Hours; Restricted Hours","Climate Control; Escalator; None; Other Required; Planting; Retail Frontage; Seating; Trees within Space; Water Feature","2 kiosks; Pedestrian Underpass between One Liberty Plaza and World Trade Center extending from the northwest corner of Church and Cortlandt Streets westward under Church Street",Other Permitted,Full/Partial,40.709616,-74.013389,"0980538","0197809","1000000","10006","1","13","1000540001",,POINT(-74.013389 40.709616),,No activity
"POINT (-74.010843 40.709754)",M010004,Manhattan,"1","01","1",LIBERTY PLAZA,"10006","1 LIBERTY PLAZA, New York, NY 10006","00062","7501",One Liberty Plaza,"Full block bounded by Broadway, Church Street, Liberty Street, and Cortlandt Street. Original BBL: 62/1001-1017.","1972",Completed,"Open Area; Plaza",,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; Cooper, Robertson and Partners Architects (for alteration in 2005)","Open Area 0.00 sf; Plaza 30361.50 sf",24 Hours,"Artwork; Lighting; None; Planting; Plaque/Sign; Seating; Subway; Tables; Trees within Space",,,Full/Partial,40.709754,-74.010843,"0981244","0197859","1001068","10006","1","13","1000627501",,POINT(-74.010843 40.709754),,No activity
"POINT (-74.010117 40.70865)",M010005,Manhattan,"1","01","140",BROADWAY,"10005","140 BROADWAY, New York, NY 10005","00048","0001",,"Full block bounded by Nassau, Broadway, Cedar Street, and Liberty Street","1965",Completed,Plaza,Harry Helmsley,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; Alta Planning & Design (for alteration in 2012)",Plaza 15924.30 sf,24 Hours,None,,Other Permitted,Full/Partial,40.70865,-74.010117,"0981445","0197457","1001027","10005","1","7","1000480001",,POINT(-74.010117 40.70865),,No activity
"POINT (-74.00848 40.709123)",M010006,Manhattan,"1","01","33",MAIDEN LANE,"10038","33 MAIDEN LANE, New York, NY 10038","00067","0023",Two Federal Reserve Plaza,Full blockfront on east side of Nassau Street between Maiden Lane and John Street,"1984",Completed,"Covered Pedestrian Space; Public Pedestrian Circulation Area",George Klein,Johnson/Burgee Architects,Johnson/Burgee Architects,"Covered Pedestrian Space 4441.00 sf; Public Pedestrian Circulation Area 935.00 sf","24 Hours; Restricted Hours","Escalator; Lighting; Retail Frontage; Seating; Subway; Trees within Space",,,Full/Partial,40.709123,-74.00848,"0981899","0197629","1001109","10038","1","15.02","1000670023",,POINT(-74.00848 40.709123),,No activity
"POINT (-74.007199 40.708346)",M010007,Manhattan,"1","01","100",WILLIAM STREET,"10038","100 WILLIAM STREET, New York, NY 10038","00068","0036",,Full blockfront on east side of William Street bounded by Platt and John Streets,"1973",Completed,Covered Pedestrian Space,,Emery Roth & Sons,"Emery Roth & Sons; Rogers Marvel Architects, PLLC (for alteration in 2010)",Covered Pedestrian Space 5242.00 sf,Restricted Hours,"Lighting; Plaque/Sign; Retail Frontage; Seating",,,Full/Partial,40.708346,-74.007199,"0982254","0197346","1001116","10038","1","15.02","1000680036",,POINT(-74.007199 40.708346),,No activity
"POINT (-74.004736 40.70741)",M010008,Manhattan,"1","01","200",WATER STREET,"10038","200 WATER STREET, New York, NY 10038","00075","0001",,"Full block bounded by Water Street, Pearl Street, John Street, and Fulton Street","1971",Completed,"Arcade; Plaza",Robert Kaufman and Max Spitzer,Emery Roth & Sons,"Emery Roth & Sons; Rogers Marvel Architects (for alteration in 2012)","Arcade 3222.00 sf; Plaza 4010.00 sf",24 Hours,"Artwork; Litter Receptacles; None; Planting; Plaque/Sign; Seating; Tables; Trees within Space",,,Full/Partial,40.70741,-74.004736,"0982937","0197005","1001163","10038","1","15.02","1000750001",,POINT(-74.004736 40.70741),,No activity
"POINT (-74.005544 40.706996)",M010009,Manhattan,"1","01","180",WATER STREET,"10038","180 WATER STREET, New York, NY 10038","00070","0032",,Full blockfront on south side of John Street between Water and Pearl Streets,"1969",Completed,"Arcade; Plaza",Theodore Locker,Emery Roth & Sons,Emery Roth & Sons,"Arcade 2404.41 sf; Plaza 3949.00 sf",24 Hours,None,,,Full/Partial,40.706996,-74.005544,"0982713","0196854","1001134","10038","1","15.02","1000700032",,POINT(-74.005544 40.706996),,No activity
"POINT (-74.006168 40.705662)",M010010,Manhattan,"1","01","88",PINE STREET,"10005","88 PINE STREET, New York, NY 10005","00038","0017",Wall Street Plaza,"Bounded by Front Street, Water Street, and Maiden Lane","1971",Completed,Special Permit Plaza,,"I.M. Pei and Partners; C.Y. Tung/Morley Cho","I.M. Pei and Partners; C.Y. Tung/Morley Cho",Special Permit Plaza 9907.00 sf,24 Hours,"Artwork; Planting; Seating; Subway; Trees within Space; Water Feature",,,Full/Partial,40.705662,-74.006168,"0982540","0196368","1000876","10005","1","7","1000380017",,POINT(-74.006168 40.705662),,No activity
"POINT (-74.005515 40.705269)",M010011,Manhattan,"1","01","180",MAIDEN LANE,"10005","180 MAIDEN LANE, New York, NY 10005","00037","0023",,"Full block bounded by South Street, Front Street, Pine Street, and Maiden Lane","1982",Completed,"Enclosed Public Space; Outdoor Public Space",,"Swanke Hayden Connell; Kohn Pedersen Fox","Swanke Hayden Connell; Kohn Pedersen Fox; Thomas Balsley Associates (for Outdoor Public Space); Perkins Eastman (2015 Design Change)","Enclosed Public Space 14442.00 sf; Outdoor Public Space 6678.00 sf","24 Hours; Restricted Hours","Artwork; Climate Control; Drinking Fountain; Escalator; Food Service; Litter Receptacles; Other Required; Planting; Plaque/Sign; Programs; Restrooms; Retail Frontage; Seating; Tables; Trees within Space","4,839 sf open exhibit area, 858 sf enclosed exhibit area, 365 sf",Other Permitted,Full/Partial,40.705269,-74.005515,"0982721","0196225","1000874","10005","1","7","1000370023",,POINT(-74.005515 40.705269),,No activity
"POINT (-74.006355 40.70491)",M010012,Manhattan,"1","01","110",WALL STREET,"10005","110 WALL STREET, New York, NY 10005","00037","0008",,Northeast corner of Wall and Front Streets,"1964",Completed,Arcade,,Emery Roth & Sons,Emery Roth & Sons,Arcade 3613.00 sf,24 Hours,None,,Open Air Cafe,Full/Partial,40.70491,-74.006355,"0982488","0196094","1000872","10005","1","7","1000370008",,POINT(-74.006355 40.70491),,No activity
"POINT (-74.006755 40.705244)",M010013,Manhattan,"1","01","100",WALL STREET,"10005","100 WALL STREET, New York, NY 10005","00038","0001",,"Bounded by Front, Water, and Wall Streets","1969",Completed,"Arcade; Plaza",,Emery Roth & Sons,Emery Roth & Sons,"Arcade 2518.00 sf; Plaza 5933.20 sf",24 Hours,None,,,Full/Partial,40.705244,-74.006755,"0982377","0196216","1000875","10005","1","7","1000380001",,POINT(-74.006755 40.705244),,No activity
"POINT (-74.007581 40.704676)",M010014,Manhattan,"1","01","95",WALL STREET,"10005","95 WALL STREET, New York, NY 10005","00033","0011",,Full blockfront on east side of  Water Street between Gouverneur Lane and Wall Street,"1969",Completed,"Arcade; Plaza",,Emery Roth & Sons,Emery Roth & Sons,"Arcade 2446.00 sf; Plaza 1963.00 sf",24 Hours,None,,,Full/Partial,40.704676,-74.007581,"0982148","0196009","1000864","10005","1","7","1000330011",,POINT(-74.007581 40.704676),,No activity
"POINT (-74.006997 40.704265)",M010015,Manhattan,"1","01","111",WALL STREET,"10005","111 WALL STREET, New York, NY 10005","00035","0010",,"Full block bounded by South Street, Front Street, Gouverneur Lane, and Wall Street","1967",Completed,"Arcade; Plaza",,Emery Roth & Sons,"Emery Roth & Sons; Thomas Balsley Associates (for alteration)","Arcade 4589.00 sf; Plaza 10883.00 sf",,,,,Full/Partial,40.704265,-74.006997,"0982310","0195859","1000868","10005","1","7","1000350010",,POINT(-74.006997 40.704265),,No activity
"POINT (-74.008198 40.704226)",M010016,Manhattan,"1","01","77",WATER STREET,"10005","77 WATER STREET, New York, NY 10005","00033","0001",,"Full block bounded by Front Street, Water Street, Old Slip, and Gouverneur Lane","1970",Completed,"Arcade; Plaza",,Emery Roth & Sons,Emery Roth & Sons,"Arcade 10335.00 sf; Plaza 4956.00 sf",24 Hours,None,,,Full/Partial,40.704226,-74.008198,"0981977","0195845","1000863","10005","1","7","1000330001",,POINT(-74.008198 40.704226),,No activity
"POINT (-74.008858 40.704569)",M010017,Manhattan,"1","01","86",WATER STREET,"10005","86 WATER STREET, New York, NY 10005","00031","0001",10 Hanover Square,East side of Hanover Square between Water and Pearl Streets,"1971",Completed,Plaza,Harry B. Helmsley,Emery Roth & Sons,"Emery Roth & Sons; Skidmore, Owings & Merrill (for alteration in 1997)",Plaza 3416.00 sf,24 Hours,None,,,Full/Partial,40.704569,-74.008858,"0981794","0195970","1000859","10005","1","7","1000310001",,POINT(-74.008858 40.704569),,No activity
"POINT (-74.011787 40.706021)",M010018,Manhattan,"1","01","40",BROAD STREET,"10004","40 BROAD STREET, New York, NY 10004","00024","7501",,West side of Broad Street between Beaver Street and Exchange Place. Original BBL: 24/32.,"1983",Completed,"Arcade; Urban Plaza",,Gruzen & Partners,Gruzen & Partners,"Arcade 745.00 sf; Urban Plaza 1498.74 sf",24 Hours,"Lighting; Litter Receptacles; None; Planting; Seating; Trees on Street; Trees within Space",,,Full/Partial,40.706021,-74.011787,"0980982","0196499","1078985","10004","1","9","1000247501",,POINT(-74.011787 40.706021),,No activity
"POINT (-74.011047 40.705277)",M010019,Manhattan,"1","01","55",BROAD STREET,"10004","55 BROAD STREET, New York, NY 10004","00025","0001",,Northeast corner of Broad and Beaver Streets,"1966",Completed,Arcade,,Emery Roth & Sons,Emery Roth & Sons,Arcade 4089.00 sf,24 Hours,None,,,Full/Partial,40.705277,-74.011047,"0981187","0196228","1000821","10004","1","9","1000250001",,POINT(-74.011047 40.705277),,No activity
"POINT (-74.013024 40.706855)",M010020,Manhattan,"1","01","55",BROADWAY,"10006","55 BROADWAY, New York, NY 10006","00020","0016",1 Exchange Plaza,Southwest corner of Broadway and Exchange Alley,"1983",Completed,"Other Public Access Areas; Urban Plaza",,Fox & Fowle,"Fox & Fowle; Abel Bainsson and Butz (for alteration in 2010)","Other Public Access Areas 0.00 sf; Urban Plaza 1726.00 sf",24 Hours,"Escalator; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables",,,Full/Partial,40.706855,-74.013024,"0980639","0196803","1000807","10006","1","13","1000200016",,POINT(-74.013024 40.706855),,No activity
"POINT (-74.012274 40.706485)",M010021,Manhattan,"1","01","52",BROADWAY,"10004","52 BROADWAY, New York, NY 10004","00022","0028",,Southeast corner of Exchange Alley and Broadway,"1983",Completed,Through Block Arcade Equivalent,Jack Resnick,Emery Roth & Sons,Emery Roth & Sons,Through Block Arcade Equivalent 4841.00 sf,Restricted Hours,"Artwork; Escalator; Lighting; Planting; Retail Frontage",,,Full/Partial,40.706485,-74.012274,"0980847","0196668","1000814","10004","1","9","1000220028",,POINT(-74.012274 40.706485),,No activity
"POINT (-74.013266 40.706542)",M010022,Manhattan,"1","01","45",BROADWAY,"10006","45 BROADWAY, New York, NY 10006","00020","0009",45 Broadway Atrium,West side of Broadway between Morris Street and Exchange Alley,"1983",Completed,"Arcade; Shopping Arcade","HRO International, Ltd.",Fox and Fowle,Fox and Fowle,"Arcade 1983.00 sf; Shopping Arcade 81.68 sf",24 Hours,"Escalator; Subway",,,Full/Partial,40.706542,-74.013266,"0980572","0196689","1000804","10006","1","13","1000200009",,POINT(-74.013266 40.706542),,No activity
"POINT (-74.01485 40.708074)",M010023,Manhattan,"1","01","90",WASHINGTON STREET,"10006","90 WASHINGTON STREET, New York, NY 10006","00017","0029",,"Bounded by Washington, West, and Rector Streets","1968",Completed,Plaza,,Fred Safran,Fred Safran,Plaza 8789.00 sf,24 Hours,"Bicycle Parking; Lighting; Planting; Plaque/Sign; Seating; Trees within Space",,,Full/Partial,40.708074,-74.01485,"0980133","0197247","1000793","10006","1","13","1000170029",,POINT(-74.01485 40.708074),,No activity
"POINT (-74.009659 40.704056)",M010024,Manhattan,"1","01","7",HANOVER SQUARE,"10004","7 HANOVER SQUARE, New York, NY 10004","00030","7501",100 Pearl Street,South side of Hanover Square between Water and Pearl Streets,"1983",Completed,"Arcade; Through Block Arcade",,Emery Roth & Sons,Emery Roth & Sons,"Arcade 5349.06 sf; Through Block Arcade 7467.13 sf",24 Hours,"Lighting; None; Planting; Plaque/Sign; Retail Frontage",,,Full/Partial,40.704056,-74.009659,"0981572","0195783","1000855","10004","1","9","1000307501",,POINT(-74.009659 40.704056),,No activity
"POINT (-74.009154 40.703183)",M010025,Manhattan,"1","01","55",WATER STREET,"10041","55 WATER STREET, New York, NY 10041","00032","7501",,"Full block bounded by South Street, Water Street, Vietnam Veterans Plaza, and Old Slip","1970",Completed,"Arcade; Elevated Plaza; Plaza",Uris 55 Water St. Corp.,Emery Roth & Sons,"M. Paul Friedberg & Partners; Rogers Marvel Architects, PLLC and Ken Smith (for alteration in 2004)","Arcade 10254.00 sf; Elevated Plaza 41485.00 sf; Plaza 33307.00 sf","24 Hours; Closing for Events; Restricted Hours","Escalator; Food Service; Lighting; None; Other Required; Planting; Plaque/Sign; Programs; Retail Frontage; Seating; Tables; Trees within Space","Elevated Plaza: stairs connecting to street level on Water Street and South Street events platform, stair balconies, viewing platform, boardwalk, support space and illuminated beacon; rebuilding and maintenance of adjacent Jeannette Park (now Vietnam Veterans Plaza) to the west as an urban park with landscaping, seating, and lighting",Other Permitted,Full/Partial,40.703183,-74.009154,"0981712","0195465","1083346","10041","1","9","1000327501",,POINT(-74.009154 40.703183),,No activity
"POINT (-74.010607 40.702266)",M010026,Manhattan,"1","01","125",BROAD STREET,"10004","125 BROAD STREET, New York, NY 10004","00005","7501",2 New York Plaza,Northeast corner of Broad and South Streets,"1970",Completed,"Arcade; Plaza",Sol G. Atlas and John P. McGrath,Kahn and Jacobs,Kahn and Jacobs,"Arcade 3656.00 sf; Plaza 21009.00 sf",24 Hours,Plaque/Sign,,,Full/Partial,40.702266,-74.010607,"0981309","0195131","1000006","10004","1","9","1000057501",,POINT(-74.010607 40.702266),,No activity
"POINT (-74.010722 40.702777)",M010027,Manhattan,"1","01","115",BROAD STREET,"10004","115 BROAD STREET, New York, NY 10004","00005","0010",4 New York Plaza,Southeast corner of Water and Broad Streets,"1968",Completed,"Arcade; Plaza",Sol G. Atlas and John P. McGrath,"Carson, Lundin & Shaw","Carson, Lundin & Shaw; Phillip Habib & Associates (2011 redesign)","Arcade 3124.00 sf; Plaza 7573.00 sf",24 Hours,"Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Seating; Tables; Trees within Space",,,Full/Partial,40.702777,-74.010722,"0981277","0195317","1000007","10004","1","9","1000050010",,POINT(-74.010722 40.702777),,No activity
"POINT (-74.011054 40.703993)",M010028,Manhattan,"1","01","85",BROAD STREET,"10004","85 BROAD STREET, New York, NY 10004","00029","0001",Goldman Sachs,Full blockfront on east side of Broad Street between Pearl and South William Streets,"1983",Completed,"Arcade; Publicly Accessible Lobby; Sidewalk Widening; Urban Plaza",Galbreath-Ruffin Corp.,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill","Arcade 12930.00 sf; Publicly Accessible Lobby 0.00 sf; Sidewalk Widening 3600.00 sf; Urban Plaza 9630.00 sf","24 Hours; Restricted Hours","Lighting; Litter Receptacles; Other Required; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space","signage and display methods used to identify the historical significance of the site, approved by the Landmarks Preservation Commission and the City Planning Commission",Open Air Cafe,Full/Partial,40.703993,-74.011054,"0981185","0195760","1066031","10004","1","9","1000290001",,POINT(-74.011054 40.703993),,No activity
"POINT (-74.012021 40.702153)",M010029,Manhattan,"1","01","1",NEW YORK PLAZA,"10004","1 NEW YORK PLAZA, New York, NY 10004","00004","7501",,"Full block bounded by Whitehall, Water, Broad, and South Streets","1967",Completed,"Arcade; Plaza",,William Lescaze & Associates,"William Lescaze & Associates; William Leggio Architects (for alteration in 2002)","Arcade 4721.20 sf; Plaza 35264.00 sf",24 Hours,None,,,Full/Partial,40.702153,-74.012021,"0980917","0195090","1000005","10004","1","9","1000047501",,POINT(-74.012021 40.702153),,No activity
"POINT (-74.013301 40.70276)",M010030,Manhattan,"1","01","1",STATE STREET,"10004","1 STATE STREET, New York, NY 10004","00009","0001",1 State Street Plaza,Full blockfront on west side of Whitehall Street between State and  Pearl Streets,"1970",Completed,"Arcade; Plaza",,Emery Roth & Sons,Emery Roth & Sons,"Arcade 731.00 sf; Plaza 8976.80 sf",24 Hours,None,,,Full/Partial,40.70276,-74.013301,"0980562","0195311","1000018","10004","1","9","1000090001",,POINT(-74.013301 40.70276),,No activity
"POINT (-74.013878 40.702892)",M010031,Manhattan,"1","01","17",STATE STREET,"10004","17 STATE STREET, New York, NY 10004","00009","0014",,Southeast corner of State and Pearl Streets,"1987",Completed,"Arcade; Public Exhibit Space; Sidewalk Widening; Urban Plaza",William Kaufman,Emery Roth & Sons,Emery Roth & Sons,"Arcade 6198.00 sf; Public Exhibit Space 0.00 sf; Sidewalk Widening 1715.00 sf; Urban Plaza 6272.00 sf",24 Hours,"Lighting; Litter Receptacles; None; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees on Street; Trees within Space",Public Exhibit Space: archaeological exhibit space designed by Milton Glaser,,Full/Partial,40.702892,-74.013878,"0980402","0195359","1000020","10004","1","9","1000090014",,POINT(-74.013878 40.702892),,No activity
"POINT (-74.01373 40.703347)",M010032,Manhattan,"1","01","1",BATTERY PARK PLAZA,"10004","1 BATTERY PARK PLAZA, New York, NY 10004","00009","0029",,"Full block bounded by Whitehall Street, State Street, Pearl Street and Bridge Street","1969",Completed,Plaza,,Emery Roth & Sons,Emery Roth & Sons,Plaza 16337.00 sf,24 Hours,None,,,Full/Partial,40.703347,-74.01373,"0980443","0195525","1000021","10004","1","9","1000090029",,POINT(-74.01373 40.703347),,No activity
